nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
22,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
23,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
24,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
25,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
26,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
27,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
28,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
29,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
30,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
31,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
32,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
33,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
34,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
35,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
36,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
37,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
38,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
39,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
40,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
41,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
42,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
43,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
44,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
45,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
46,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
47,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
48,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
49,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
50,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
51,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
52,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
53,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
