nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
11,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
12,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
13,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
14,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
15,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
16,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
17,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
18,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
19,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
20,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
