nameseq,k1,k2,label
810,1.87303895506833,5.257036340510533,None
811,1.87303895506833,5.257036340510533,None
812,1.87303895506833,5.257036340510533,None
813,1.87303895506833,5.257036340510533,None
814,1.87303895506833,5.257036340510533,None
815,1.87303895506833,5.257036340510533,None
816,2.6753352650652866,6.79000955068616,None
817,2.6753352650652866,6.79000955068616,None
818,2.6753352650652866,6.79000955068616,None
819,2.6753352650652866,6.79000955068616,None
820,2.6753352650652866,6.79000955068616,None
821,2.6753352650652866,6.79000955068616,None
822,-0.0,-0.0,None
823,2.7500261866525944,12.265844037808064,None
824,2.7500261866525944,12.265844037808064,None
825,2.7500261866525944,12.265844037808064,None
826,2.74205341081953,12.190865074891756,None
827,2.74205341081953,12.190865074891756,None
828,2.74205341081953,12.190865074891756,None
829,2.7470490778245065,12.225582236499415,None
830,2.7470490778245065,12.225582236499415,None
831,2.7470490778245065,12.225582236499415,None
832,2.747516317607986,12.233880771097219,None
833,2.747516317607986,12.233880771097219,None
834,2.747516317607986,12.233880771097219,None
835,2.744193202414684,12.204402261354442,None
836,2.744193202414684,12.204402261354442,None
837,2.744193202414684,12.204402261354442,None
838,2.75134476427744,12.290977139862502,None
839,2.75134476427744,12.290977139862502,None
840,2.75134476427744,12.290977139862502,None
841,-0.0,-0.0,None
842,-0.0,-0.0,None
843,-0.0,-0.0,None
844,-0.0,-0.0,None
845,-0.0,-0.0,None
846,-0.0,-0.0,None
847,-0.0,-0.0,None
848,-0.0,-0.0,None
849,-0.0,-0.0,None
850,-0.0,-0.0,None
851,-0.0,-0.0,None
852,-0.0,-0.0,None
853,-0.0,-0.0,None
854,-0.0,-0.0,None
855,-0.0,-0.0,None
856,-0.0,-0.0,None
857,-0.0,-0.0,None
858,-0.0,-0.0,None
859,-0.0,-0.0,None
860,-0.0,-0.0,None
861,-0.0,-0.0,None
862,-0.0,-0.0,None
863,-0.0,-0.0,None
864,-0.0,-0.0,None
865,-0.0,-0.0,None
866,-0.0,-0.0,None
867,-0.0,-0.0,None
868,-0.0,-0.0,None
869,-0.0,-0.0,None
870,-0.0,-0.0,None
871,-0.0,-0.0,None
872,-0.0,-0.0,None
873,-0.0,-0.0,None
874,-0.0,-0.0,None
875,-0.0,-0.0,None
876,-0.0,-0.0,None
877,-0.0,-0.0,None
878,2.746411878826205,12.25140833131209,None
879,2.746411878826205,12.25140833131209,None
880,2.746411878826205,12.25140833131209,None
881,2.746411878826205,12.25140833131209,None
882,2.7570153682349496,12.33526004486834,None
883,2.7570153682349496,12.33526004486834,None
884,2.7570153682349496,12.33526004486834,None
885,2.7570153682349496,12.33526004486834,None
886,2.7570153682349496,12.33526004486834,None
887,2.7570153682349496,12.33526004486834,None
888,2.7570153682349496,12.33526004486834,None
889,2.7570153682349496,12.33526004486834,None
890,2.7570153682349496,12.33526004486834,None
891,2.7570153682349496,12.33526004486834,None
892,2.7570153682349496,12.33526004486834,None
893,2.7570153682349496,12.33526004486834,None
894,2.7570153682349496,12.33526004486834,None
895,2.7570153682349496,12.33526004486834,None
896,2.7570153682349496,12.33526004486834,None
897,2.7570153682349496,12.33526004486834,None
898,2.7570153682349496,12.33526004486834,None
899,2.7570153682349496,12.33526004486834,None
900,2.7570153682349496,12.33526004486834,None
901,2.7570153682349496,12.33526004486834,None
902,2.746411878826205,12.25140833131209,None
903,2.7570153682349496,12.33526004486834,None
904,2.746411878826205,12.25140833131209,None
905,2.746411878826205,12.25140833131209,None
